Years,Total_fatalities,Annual_Flights,Total_psgr,avg_psgr,fatalities_percentage
1970,1920,57194870,1861543452,32.55,0.00010314
1971,1784,57493971,1991897624,34.65,0.00008956
1972,2796,48267272,1830207940,37.92,0.00015277
1973,2323,59116773,2403325100,40.65,0.00009666
1974,2242,64820474,2871103800,44.29,0.00007809
1975,1460,65491275,2985818000,45.59,0.0000489
1976,1842,68057976,3275280876,48.12,0.00005624
1977,2102,69971677,3564133252,50.94,0.00005898
1978,1444,71857478,3992219124,55.56,0.00003617
1979,1838,75527579,4494005800,59.5,0.0000409
1980,1717,76465480,4500137328,58.85,0.00003815
1981,1168,74025081,4532267500,61.23,0.00002577
1982,1708,75036182,4641330948,61.85,0.0000368
1983,1564,78432283,4847886676,61.81,0.00003226
1984,921,83085884,5168054328,62.2,0.00001782
1985,2590,86165685,5505028924,63.89,0.00004705
1986,1405,90927086,5896052476,64.84,0.00002383
1987,1632,95018687,6322228124,66.54,0.00002581
1988,1945,99241988,6668815472,67.2,0.00002917
1989,2210,100169589,6849630300,68.38,0.00003226
1990,1125,104029390,7152531996,68.75,0.00001573
1991,1725,102680091,8397941824,81.79,0.00002054
1992,2012,110521792,8603249552,77.84,0.00002339
1993,1508,122296193,8478128096,69.32,0.00001779
1994,1806,130658394,9130523624,69.88,0.00001978
1995,1491,135845395,9653876517,71.07,0.00001544
1996,2314,142698996,10267068624,71.95,0.00002254
1997,1632,147881997,10740743652,72.63,0.00001519
1998,1508,148863298,10816568980,72.66,0.00001394
1999,863,156378199,11457686800,73.27,0.00000753
2000,1430,164130538,12258008929,74.68,0.00001167
2001,1336,167791496,12269019629,73.12,0.00001089
2002,1371,157415428,12083537854,76.76,0.00001135
2003,1279,160244606,12443103305,77.65,0.00001028
2004,662,178803879,14228843152,79.58,0.00000465
2005,1294,183457226,14941071220,81.44,0.00000866
2006,1118,190037827,15864642164,83.48,0.00000705
2007,888,200716417,17071384574,85.05,0.0000052
2008,713,198157569,17228711677,86.94,0.00000414
2009,1083,203712529,17720650061,86.99,0.00000611
2010,1044,239600781.8,21455680744,89.55,0.00000487
2011,720,249548284.2,23026792036,92.27,0.00000313
2012,587,254043228.8,24175484643,95.16,0.00000243
2013,287,262116926.7,25608502966,97.7,0.00000112
2014,1142,271505508.8,27246658900,100.35,0.00000419
2015,759,281623439,29420449625,104.47,0.00000258
2016,515,293564895,31513284593,107.35,0.00000163
2017,214,303216248.8,33952628022,111.97,0.00000063
2018,874,315099234.9,36503218259,115.85,0.00000239
2019,305,321031798.6,37912303694,118.1,0.0000008
2020,355,170017117.2,15742441887,92.59,0.00000226
2021,178,201447526.9,19679496204,97.69,0.0000009
